teachid,year,gender,ethnic,bdate,educ_lvl_cd,score_normed,relative_pay
1,1999,"F","W",1748,6,.82421465,.03696086
1,2004,"F","W",1748,6,-.37912133,-.22860077
2,2004,"M","W",1335,2,.04147995,-.47759816
2,2011,"M","W",1335,2,-.5063261,.02820295
3,1999,"F","W",4163,4,1.527357,-.65899716
3,2012,"F","W",4163,4,-.88418328,-.1425994
4,1998,"M","B",4678,4,-.33116218,-1.1417044
4,2010,"M","B",4678,4,1.0340186,-.66740362
5,1999,"F","B",7830,5,-.17741999,-.16418614
5,2008,"F","B",7830,5,-1.0349545,-.4203455
6,2008,"F","W",7771,3,-.24059076,-1.7507062
6,2010,"F","W",7771,3,1.5690061,.01632372
7,2000,"F","W",2747,5,-1.0406489,.12888274
7,2004,"F","W",2747,5,-.16915549,-.79505366
8,2000,"F","W",3824,4,1.7467792,-.60837357
8,2011,"F","W",3824,4,.86154495,.22434211
9,2012,"F","W",7856,4,-.227883,-.26693393
9,2013,"F","W",7856,4,.36725654,.03154879
10,2000,"F","B",7408,4,.78367051,-1.3871468
10,2004,"F","B",7408,4,-.2924802,-.79574415
11,1999,"F","B",5729,5,.70612507,-.43391578
11,2001,"F","B",5729,5,-.27903919,-1.1057479
12,1999,"M","W",1023,3,.75065682,-1.0494375
12,2012,"M","W",1023,3,-.20847602,-.54134395
13,2004,"F","W",-2446,2,-.30817013,-.13877433
13,2011,"F","W",-2446,2,-1.0710603,.90556204
14,2004,"F","W",6821,3,1.4337275,-1.5500093
14,2013,"F","W",6821,3,-.09205388,.67847814
15,1997,"M","B",1548,4,-.64510769,-.67478529
15,2009,"M","B",1548,4,-1.4713152,.48778723
16,2000,"M","W",1811,4,-.98288404,-.38966202
16,2002,"M","W",1811,4,-1.5848485,.18109992
17,2009,"F","W",3470,7,-.96463022,1.2335256
17,2010,"F","W",3470,7,-.39276636,1.4054729
18,2007,"F","B",8537,3,.40415905,-.4980245
18,2010,"F","B",8537,3,.7651755,-.73659216
19,2008,"F","W",882,3,-.03134016,-.93111376
19,2010,"F","W",882,3,.88526309,-.35012567
20,2005,"M","B",799,4,-.57401529,.67990035
20,2012,"M","B",799,4,.81687006,1.4294802
21,1997,"F","B",1834,4,.48614881,.14888308
21,1999,"F","B",1834,4,.11351936,-1.0492718
22,2007,"F","W",-2367,5,-.1908896,1.3548506
22,2011,"F","W",-2367,5,.94062574,1.1217222
23,2004,"M","B",3368,3,.82071941,-1.222447
23,2009,"M","B",3368,3,-.32416774,-.67846916
24,2000,"F","W",6868,3,.88466571,-1.1644924
24,2008,"F","W",6868,3,-.50345257,-2.1742977
25,2003,"F","W",4915,2,-.50134115,-1.3479282
25,2012,"F","W",4915,2,.27045494,-1.0207406
26,1998,"F","W",4139,2,-.11119722,-2.568863
26,2003,"F","W",4139,2,.86777311,-.8480561
27,2005,"F","W",-42,4,-.11768594,1.6116661
27,2013,"F","W",-42,4,.32594714,-.03901064
28,2007,"F","W",4569,5,.39937885,-.19588406
28,2011,"F","W",4569,5,-.36504768,.33707336
29,2003,"M","W",-2937,4,.65393261,1.7345154
29,2013,"M","W",-2937,4,1.5731934,1.1634887
